id,input_text,perceived_mood,indicators,suggested_reply,suggested_actions,confidence_score
1485,Everything feels meaningless and dark,depressed,lonely;hopeless,"मैं सुन रही हूँ, यह कठिन समय है।",Journal feelings to reflect and lighten mental load.,0.79
1486,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,सामान्य;ordinary,Got it — sounds like a steady day.,Reflect on small achievements.,0.94
1487,Excited to learn new things today,motivated,enthusiastic;energy,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.82
1488,Enjoyed a wonderful day outdoors,happy,joy;well-being,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.77
1489,I feel overwhelmed with all the tasks,stressed,pressure;काम,"Take a deep breath, you can handle one task at a time.",Seek support if overwhelmed; focus on one step at a time.,0.74
1490,My heart is racing thinking about the exam,anxious,anxious;heart racing,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.71
1491,Enjoyed a wonderful day outdoors,happy,खुशी;well-being,Capture gratitude in a quick note; enjoy the moment.,Record or savor what made you happy.,0.77
1492,Had a great time with friends today!,happy,friends;joy,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.79
1493,Ready to tackle all my assignments,motivated,drive;goal,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.74
1494,"Just finished my homework, pretty regular day",neutral,ordinary;nothing special,"ठीक है, दिन सामान्य रहा।",Maintain routines; maybe add a small fun activity.,0.89
1495,Feeling anxious about meeting new people,anxious,heart racing;ghabraahat,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.79
1496,I feel overwhelmed with all the tasks,stressed,काम;pressure,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.95
1497,Everything feels meaningless and dark,depressed,lonely;meaningless,Consider reaching out to someone you trust or a small enjoyable activity.,Engage in one small enjoyable activity today.,0.96
1498,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,excited;drive,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.85
1499,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,anxious;worried,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.72
1500,I can't stop worrying about the interview tomorrow,anxious,anxious;nervous,It’s okay to feel anxious — want to talk about it?,Practice deep breathing or mindfulness exercises.,0.73
1501,Everything is going well in life,happy,friends;enjoyed,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.82
1502,"Just finished my homework, pretty regular day",neutral,ordinary;nothing special,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.75
1503,My heart is racing thinking about the exam,anxious,ghabraahat;परेशान,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.76
1504,"Classes were normal today, nothing much happened",neutral,normal;सामान्य,"ठीक है, दिन सामान्य रहा।",Maintain routines; maybe add a small fun activity.,0.84
1505,Working on routine assignments,neutral,usual;सामान्य,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.71
1506,"Attending usual lectures, nothing new",neutral,routine;normal,Keep routines balanced and maybe add something fun.,Reflect on small achievements.,0.74
1507,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,enthusiastic;उत्साहित,"उत्साह बढ़िया है, बढ़िया काम करो!",Channel energy into tasks efficiently.,0.83
1508,Working on routine assignments,neutral,usual;सामान्य,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.74
1509,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,ordinary;nothing special,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.95
1510,I can achieve my goals if I work hard,motivated,उत्साहित;excited,"उत्साह बढ़िया है, बढ़िया काम करो!",Channel energy into tasks efficiently.,0.98
1511,Feeling so lonely even when surrounded by people,depressed,बेकार;dark,Consider reaching out to someone you trust or a small enjoyable activity.,Journal feelings to reflect and lighten mental load.,0.72
1512,"Deadlines are piling up, I feel like I’ll collapse",stressed,काम;tasks,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.92
1513,Everything feels meaningless and dark,depressed,tired;बेकार,Consider reaching out to someone you trust or a small enjoyable activity.,Journal feelings to reflect and lighten mental load.,0.81
1514,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,काम;overload,That sounds overwhelming — let's break it down into smaller steps.,Break tasks into smaller chunks; postpone non-urgent items.,0.71
1515,मुझे लगता है कि सब बेकार है,depressed,meaningless;lonely,"मैं सुन रही हूँ, यह कठिन समय है।",Journal feelings to reflect and lighten mental load.,0.83
1516,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,enthusiastic;drive,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.98
1517,I can't stop worrying about the interview tomorrow,anxious,worried;anxious,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.97
1518,Working on routine assignments,neutral,routine;usual,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.75
1519,"Just finished my homework, pretty regular day",neutral,nothing special;normal,Keep routines balanced and maybe add something fun.,Reflect on small achievements.,0.89
1520,Working on routine assignments,neutral,normal;सामान्य,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.73
1521,"I got an A on my exam, feeling amazing!",happy,friends;amazing,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.97
1522,"Just finished my homework, pretty regular day",neutral,routine;ordinary,"ठीक है, दिन सामान्य रहा।",Maintain routines; maybe add a small fun activity.,0.73
1523,Ready to tackle all my assignments,motivated,goal;उत्साहित,Chunk tasks into milestones; reward yourself after completion.,Channel energy into tasks efficiently.,0.91
1524,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,ghabraahat;nervous,Try grounding techniques or a 5-min break to calm down.,Practice deep breathing or mindfulness exercises.,0.76
1525,Feeling anxious about meeting new people,anxious,worried;heart racing,Try grounding techniques or a 5-min break to calm down.,Practice deep breathing or mindfulness exercises.,0.75
1526,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,overload;pressure,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.88
1527,Had a great time with friends today!,happy,enjoyed;friends,That’s wonderful — I’m glad you enjoyed!,Enjoy the good day fully; connect with loved ones.,0.72
1528,I have too many assignments and can't finish on time,stressed,deadlines;pressure,That sounds overwhelming — let's break it down into smaller steps.,Seek support if overwhelmed; focus on one step at a time.,0.77
1529,"Classes were normal today, nothing much happened",neutral,routine;nothing special,"ठीक है, दिन सामान्य रहा।",Maintain routines; maybe add a small fun activity.,0.89
1530,"Deadlines are piling up, I feel like I’ll collapse",stressed,overload;tasks,That sounds overwhelming — let's break it down into smaller steps.,Break tasks into smaller chunks; postpone non-urgent items.,0.87
1531,Feeling so lonely even when surrounded by people,depressed,बेकार;dark,Consider reaching out to someone you trust or a small enjoyable activity.,Reach out to a trusted friend or counselor.,0.8
1532,I can achieve my goals if I work hard,motivated,enthusiastic;drive,"उत्साह बढ़िया है, बढ़िया काम करो!",Maintain momentum and track achievements.,0.82
1533,Had a great time with friends today!,happy,amazing;enjoyed,That’s wonderful — I’m glad you enjoyed!,Celebrate the positive moments; share gratitude.,0.83
1534,Ready to tackle all my assignments,motivated,excited;drive,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.74
1535,"I got an A on my exam, feeling amazing!",happy,enjoyed;friends,"बहुत अच्छा, खुश रहो!",Enjoy the good day fully; connect with loved ones.,0.88
1536,Ready to tackle all my assignments,motivated,goal;उत्साहित,Chunk tasks into milestones; reward yourself after completion.,Plan milestones; reward yourself after completion.,0.7
1537,I can achieve my goals if I work hard,motivated,energy;enthusiastic,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.79
1538,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,usual;सामान्य,"ठीक है, दिन सामान्य रहा।",Reflect on small achievements.,0.88
1539,I have too many assignments and can't finish on time,stressed,काम;संभाल,"Take a deep breath, you can handle one task at a time.",Seek support if overwhelmed; focus on one step at a time.,0.96
1540,Ready to tackle all my assignments,motivated,enthusiastic;goal,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.74
1541,Everything is going well in life,happy,enjoyed;well-being,That’s wonderful — I’m glad you enjoyed!,Celebrate the positive moments; share gratitude.,0.84
1542,I have too many assignments and can't finish on time,stressed,संभाल;tasks,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",List top 3 priorities; take a 5-min mindful break; hydrate.,0.96
1543,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,संभाल;tasks,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.76
1544,Feeling pumped to finish my project tonight,motivated,energy;उत्साहित,Chunk tasks into milestones; reward yourself after completion.,Plan milestones; reward yourself after completion.,0.75
1545,Feeling so lonely even when surrounded by people,depressed,dark;lonely,Consider reaching out to someone you trust or a small enjoyable activity.,Reach out to a trusted friend or counselor.,0.89
1546,Feeling pumped to finish my project tonight,motivated,excited;drive,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.91
1547,I have too many assignments and can't finish on time,stressed,overload;tasks,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.89
1548,"Attending usual lectures, nothing new",neutral,nothing special;usual,"ठीक है, दिन सामान्य रहा।",Maintain routines; maybe add a small fun activity.,0.76
1549,I have too many assignments and can't finish on time,stressed,deadlines;संभाल,That sounds overwhelming — let's break it down into smaller steps.,Break tasks into smaller chunks; postpone non-urgent items.,0.91
1550,I can't stop worrying about the interview tomorrow,anxious,परेशान;ghabraahat,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.98
1551,Had a great time with friends today!,happy,amazing;joy,Capture gratitude in a quick note; enjoy the moment.,Record or savor what made you happy.,0.76
1552,"Attending usual lectures, nothing new",neutral,normal;nothing special,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.85
1553,Everything is going well in life,happy,friends;joy,"बहुत अच्छा, खुश रहो!",Celebrate the positive moments; share gratitude.,0.86
1554,"Just finished my homework, pretty regular day",neutral,ordinary;normal,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.9
1555,Feeling anxious about meeting new people,anxious,ghabraahat;nervous,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.95
1556,Feeling pumped to finish my project tonight,motivated,goal;enthusiastic,"उत्साह बढ़िया है, बढ़िया काम करो!",Maintain momentum and track achievements.,0.99
1557,I have too many assignments and can't finish on time,stressed,संभाल;tasks,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Seek support if overwhelmed; focus on one step at a time.,0.94
1558,"Just finished my homework, pretty regular day",neutral,nothing special;सामान्य,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.74
1559,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,excited;drive,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.72
1560,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,anxious;heart racing,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.96
1561,I can't stop worrying about the interview tomorrow,anxious,परेशान;heart racing,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Write down worries to release them from mind.,0.9
1562,Feeling so lonely even when surrounded by people,depressed,बेकार;hopeless,Consider reaching out to someone you trust or a small enjoyable activity.,Journal feelings to reflect and lighten mental load.,0.78
1563,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,excited;goal,"उत्साह बढ़िया है, बढ़िया काम करो!",Plan milestones; reward yourself after completion.,0.74
1564,Had a great time with friends today!,happy,enjoyed;amazing,"बहुत अच्छा, खुश रहो!",Record or savor what made you happy.,0.75
1565,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,anxious;heart racing,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Practice deep breathing or mindfulness exercises.,0.76
1566,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,excited;energy,"उत्साह बढ़िया है, बढ़िया काम करो!",Maintain momentum and track achievements.,0.95
1567,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,काम;संभाल,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.97
1568,I have too many assignments and can't finish on time,stressed,काम;overload,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.98
1569,I can achieve my goals if I work hard,motivated,goal;उत्साहित,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.91
1570,I can't stop worrying about the interview tomorrow,anxious,worried;nervous,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Write down worries to release them from mind.,0.79
1571,मुझे बहुत खुशी हो रही है आज,happy,enjoyed;खुशी,Capture gratitude in a quick note; enjoy the moment.,Record or savor what made you happy.,0.89
1572,"Attending usual lectures, nothing new",neutral,normal;सामान्य,"ठीक है, दिन सामान्य रहा।",Maintain routines; maybe add a small fun activity.,0.73
1573,"Deadlines are piling up, I feel like I’ll collapse",stressed,काम;tasks,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.87
1574,Enjoyed a wonderful day outdoors,happy,amazing;joy,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.81
1575,Ready to tackle all my assignments,motivated,enthusiastic;goal,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.79
1576,Excited to learn new things today,motivated,drive;उत्साहित,Chunk tasks into milestones; reward yourself after completion.,Plan milestones; reward yourself after completion.,0.81
1577,Everything is going well in life,happy,खुशी;joy,Capture gratitude in a quick note; enjoy the moment.,Record or savor what made you happy.,0.86
1578,Feeling pumped to finish my project tonight,motivated,drive;energy,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.9
1579,I feel overwhelmed with all the tasks,stressed,काम;pressure,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.74
1580,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,worried;परेशान,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Practice deep breathing or mindfulness exercises.,0.72
1581,I feel overwhelmed with all the tasks,stressed,pressure;संभाल,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.82
1582,Feeling pumped to finish my project tonight,motivated,drive;enthusiastic,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.96
1583,I'm tired all the time and don't want to do anything,depressed,बेकार;lonely,Consider reaching out to someone you trust or a small enjoyable activity.,Reach out to a trusted friend or counselor.,0.9
1584,"I got an A on my exam, feeling amazing!",happy,well-being;enjoyed,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.9
1585,Feeling pumped to finish my project tonight,motivated,drive;energy,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.79
1586,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,परेशान;anxious,It’s okay to feel anxious — want to talk about it?,Talk to a friend or mentor to reduce anxiety.,0.8
1587,Feeling anxious about meeting new people,anxious,heart racing;worried,Try grounding techniques or a 5-min break to calm down.,Write down worries to release them from mind.,0.78
1588,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,उत्साहित;excited,Love the energy — you’ve got this!,Channel energy into tasks efficiently.,0.9
1589,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,goal;drive,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.91
1590,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,excited;enthusiastic,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.89
1591,Everything is going well in life,happy,friends;खुशी,That’s wonderful — I’m glad you enjoyed!,Enjoy the good day fully; connect with loved ones.,0.99
1592,"Attending usual lectures, nothing new",neutral,routine;usual,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.78
1593,Had a great time with friends today!,happy,enjoyed;well-being,"बहुत अच्छा, खुश रहो!",Celebrate the positive moments; share gratitude.,0.8
1594,I have too many assignments and can't finish on time,stressed,pressure;संभाल,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.78
1595,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,overload;काम,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.75
1596,I can achieve my goals if I work hard,motivated,goal;उत्साहित,Love the energy — you’ve got this!,Maintain momentum and track achievements.,0.8
1597,"I got an A on my exam, feeling amazing!",happy,well-being;amazing,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.96
1598,My heart is racing thinking about the exam,anxious,heart racing;nervous,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.9
1599,Everything is going well in life,happy,well-being;खुशी,"बहुत अच्छा, खुश रहो!",Record or savor what made you happy.,0.74
1600,I feel overwhelmed with all the tasks,stressed,संभाल;overload,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.74
1601,"I got an A on my exam, feeling amazing!",happy,joy;amazing,Capture gratitude in a quick note; enjoy the moment.,Celebrate the positive moments; share gratitude.,0.9
1602,"Attending usual lectures, nothing new",neutral,ordinary;सामान्य,"ठीक है, दिन सामान्य रहा।",Stay balanced; hydrate and rest.,0.85
1603,Feeling so lonely even when surrounded by people,depressed,tired;lonely,"मैं सुन रही हूँ, यह कठिन समय है।",Journal feelings to reflect and lighten mental load.,0.95
1604,Feeling so lonely even when surrounded by people,depressed,dark;hopeless,Consider reaching out to someone you trust or a small enjoyable activity.,Engage in one small enjoyable activity today.,0.72
1605,I can't stop worrying about the interview tomorrow,anxious,nervous;परेशान,It’s okay to feel anxious — want to talk about it?,Practice deep breathing or mindfulness exercises.,0.92
1606,Enjoyed a wonderful day outdoors,happy,joy;खुशी,Capture gratitude in a quick note; enjoy the moment.,Record or savor what made you happy.,0.97
1607,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,heart racing;परेशान,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.96
1608,Feeling pumped to finish my project tonight,motivated,उत्साहित;energy,Chunk tasks into milestones; reward yourself after completion.,Plan milestones; reward yourself after completion.,0.96
1609,Feeling pumped to finish my project tonight,motivated,excited;उत्साहित,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.92
1610,Feeling anxious about meeting new people,anxious,anxious;परेशान,It’s okay to feel anxious — want to talk about it?,Talk to a friend or mentor to reduce anxiety.,0.83
1611,Feeling anxious about meeting new people,anxious,nervous;anxious,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.94
1612,"I got an A on my exam, feeling amazing!",happy,joy;खुशी,"बहुत अच्छा, खुश रहो!",Enjoy the good day fully; connect with loved ones.,0.75
1613,I have too many assignments and can't finish on time,stressed,संभाल;overload,"Take a deep breath, you can handle one task at a time.",List top 3 priorities; take a 5-min mindful break; hydrate.,0.78
1614,"Just finished my homework, pretty regular day",neutral,normal;ordinary,Got it — sounds like a steady day.,Reflect on small achievements.,0.88
1615,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,normal;usual,Got it — sounds like a steady day.,Stay balanced; hydrate and rest.,0.96
1616,"Classes were normal today, nothing much happened",neutral,normal;routine,Keep routines balanced and maybe add something fun.,Stay balanced; hydrate and rest.,0.8
1617,मुझे लगता है कि सब बेकार है,depressed,hopeless;dark,Consider reaching out to someone you trust or a small enjoyable activity.,Engage in one small enjoyable activity today.,0.82
1618,"Deadlines are piling up, I feel like I’ll collapse",stressed,काम;संभाल,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.85
1619,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,worried;heart racing,It’s okay to feel anxious — want to talk about it?,Practice deep breathing or mindfulness exercises.,0.92
1620,I don't see the point in anything anymore,depressed,बेकार;meaningless,"मैं सुन रही हूँ, यह कठिन समय है।",Reach out to a trusted friend or counselor.,0.81
1621,Feeling anxious about meeting new people,anxious,ghabraahat;worried,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.94
1622,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,ghabraahat;heart racing,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.96
1623,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,energy;drive,"उत्साह बढ़िया है, बढ़िया काम करो!",Plan milestones; reward yourself after completion.,0.74
1624,"Just finished my homework, pretty regular day",neutral,routine;ordinary,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.98
1625,I can achieve my goals if I work hard,motivated,energy;उत्साहित,"उत्साह बढ़िया है, बढ़िया काम करो!",Maintain momentum and track achievements.,0.84
1626,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,enthusiastic;उत्साहित,Chunk tasks into milestones; reward yourself after completion.,Maintain momentum and track achievements.,0.97
1627,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,routine;nothing special,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.75
1628,Had a great time with friends today!,happy,enjoyed;friends,That’s wonderful — I’m glad you enjoyed!,Record or savor what made you happy.,0.94
1629,Working on routine assignments,neutral,nothing special;routine,"ठीक है, दिन सामान्य रहा।",Stay balanced; hydrate and rest.,0.78
1630,"Classes were normal today, nothing much happened",neutral,सामान्य;ordinary,Keep routines balanced and maybe add something fun.,Maintain routines; maybe add a small fun activity.,0.91
1631,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,ghabraahat;worried,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Talk to a friend or mentor to reduce anxiety.,0.77
1632,"आज का दिन सामान्य था, कुछ खास नहीं हुआ",neutral,सामान्य;routine,Keep routines balanced and maybe add something fun.,Reflect on small achievements.,0.85
1633,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,परेशान;nervous,It’s okay to feel anxious — want to talk about it?,Practice deep breathing or mindfulness exercises.,0.74
1634,I have too many assignments and can't finish on time,stressed,overload;संभाल,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",List top 3 priorities; take a 5-min mindful break; hydrate.,0.88
1635,"Deadlines are piling up, I feel like I’ll collapse",stressed,काम;संभाल,"Take a deep breath, you can handle one task at a time.",Break tasks into smaller chunks; postpone non-urgent items.,0.9
1636,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,ghabraahat;heart racing,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Practice deep breathing or mindfulness exercises.,0.85
1637,Feeling pumped to finish my project tonight,motivated,enthusiastic;energy,"उत्साह बढ़िया है, बढ़िया काम करो!",Channel energy into tasks efficiently.,0.78
1638,Feeling so lonely even when surrounded by people,depressed,lonely;dark,I'm here for you — it sounds heavy.,Engage in one small enjoyable activity today.,0.71
1639,I have too many assignments and can't finish on time,stressed,overload;pressure,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.96
1640,"काम बहुत है, मुझे समझ नहीं आ रहा क्या करना चाहिए",stressed,overload;pressure,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Break tasks into smaller chunks; postpone non-urgent items.,0.8
1641,"Deadlines are piling up, I feel like I’ll collapse",stressed,संभाल;deadlines,"Take a deep breath, you can handle one task at a time.",Seek support if overwhelmed; focus on one step at a time.,0.92
1642,My heart is racing thinking about the exam,anxious,ghabraahat;anxious,Try grounding techniques or a 5-min break to calm down.,Talk to a friend or mentor to reduce anxiety.,0.85
1643,I don't see the point in anything anymore,depressed,meaningless;dark,I'm here for you — it sounds heavy.,Journal feelings to reflect and lighten mental load.,0.81
1644,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,संभाल;tasks,That sounds overwhelming — let's break it down into smaller steps.,List top 3 priorities; take a 5-min mindful break; hydrate.,0.87
1645,आज पढ़ाई और काम के लिए बहुत उत्साहित हूँ,motivated,drive;उत्साहित,Love the energy — you’ve got this!,Plan milestones; reward yourself after completion.,0.97
1646,"I got an A on my exam, feeling amazing!",happy,amazing;खुशी,That’s wonderful — I’m glad you enjoyed!,Record or savor what made you happy.,0.91
1647,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,overload;काम,"Take a deep breath, you can handle one task at a time.",Seek support if overwhelmed; focus on one step at a time.,0.77
1648,"I got an A on my exam, feeling amazing!",happy,amazing;खुशी,Capture gratitude in a quick note; enjoy the moment.,Record or savor what made you happy.,0.73
1649,"Classes were normal today, nothing much happened",neutral,सामान्य;nothing special,Keep routines balanced and maybe add something fun.,Reflect on small achievements.,0.93
1650,Feeling anxious about meeting new people,anxious,ghabraahat;nervous,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Practice deep breathing or mindfulness exercises.,0.98
1651,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,संभाल;काम,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",Seek support if overwhelmed; focus on one step at a time.,0.85
1652,Had a great time with friends today!,happy,friends;खुशी,Capture gratitude in a quick note; enjoy the moment.,Enjoy the good day fully; connect with loved ones.,0.86
1653,"Attending usual lectures, nothing new",neutral,usual;normal,Got it — sounds like a steady day.,Maintain routines; maybe add a small fun activity.,0.7
1654,मुझे बहुत खुशी हो रही है आज,happy,well-being;joy,Capture gratitude in a quick note; enjoy the moment.,Enjoy the good day fully; connect with loved ones.,0.85
1655,Excited to learn new things today,motivated,enthusiastic;excited,Love the energy — you’ve got this!,Channel energy into tasks efficiently.,0.91
1656,Had a great time with friends today!,happy,friends;enjoyed,That’s wonderful — I’m glad you enjoyed!,Record or savor what made you happy.,0.77
1657,बहुत सारा काम है और मैं संभाल नहीं पा रहा हूँ,stressed,pressure;overload,"मैं सुन रही हूँ, यह बहुत भारी लग रहा है।",List top 3 priorities; take a 5-min mindful break; hydrate.,0.89
1658,कल की प्रस्तुति को लेकर बहुत घबराहट हो रही है,anxious,परेशान;worried,It’s okay to feel anxious — want to talk about it?,Talk to a friend or mentor to reduce anxiety.,0.8
1659,"I got an A on my exam, feeling amazing!",happy,amazing;joy,Capture gratitude in a quick note; enjoy the moment.,Record or savor what made you happy.,0.78
1660,परेशान हूँ कि मैं सही से कर पाऊँगा या नहीं,anxious,परेशान;ghabraahat,"परेशानी समझ में आती है, मैं सुन सकती हूँ।",Practice deep breathing or mindfulness exercises.,0.88
1661,I have too many assignments and can't finish on time,stressed,overload;pressure,That sounds overwhelming — let's break it down into smaller steps.,Break tasks into smaller chunks; postpone non-urgent items.,0.98
1662,Everything is going well in life,happy,joy;खुशी,Capture gratitude in a quick note; enjoy the moment.,Enjoy the good day fully; connect with loved ones.,0.95
1663,Excited to learn new things today,motivated,goal;drive,"उत्साह बढ़िया है, बढ़िया काम करो!",Plan milestones; reward yourself after completion.,0.79
1664,Feeling anxious about meeting new people,anxious,anxious;heart racing,It’s okay to feel anxious — want to talk about it?,Write down worries to release them from mind.,0.77
